Test name: 03302015_1DC_100OS_70MPA_01_22
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
48.13097 0.53977 0.11271
48.37351 0.53847 0.11346
48.61244 0.53755 0.11399
48.84775 0.53654 0.11457
49.08848 0.53583 0.11498
49.32016 0.53436 0.11582
49.55185 0.53315 0.11652
49.79077 0.53227 0.11703
50.02428 0.53080 0.11787
50.26138 0.52984 0.11843
50.49126 0.52879 0.11903
50.72838 0.52770 0.11966
50.97455 0.52665 0.12026
51.20441 0.52565 0.12084
51.43972 0.52439 0.12157
51.68226 0.52339 0.12215
51.93023 0.52234 0.12275
52.16553 0.52096 0.12355
52.41531 0.51974 0.12425
52.66510 0.51874 0.12483
52.91307 0.51790 0.12531
53.15200 0.51681 0.12594
53.38550 0.51580 0.12652
53.63891 0.51442 0.12731
53.87964 0.51316 0.12804
54.12580 0.51237 0.12850
54.36836 0.51111 0.12922
54.62539 0.51010 0.12980
54.86612 0.50901 0.13043
55.11590 0.50801 0.13101
55.37293 0.50684 0.13169
55.63901 0.50566 0.13236
55.89603 0.50491 0.13280
56.14943 0.50399 0.13333
56.41189 0.50294 0.13393
56.66168 0.50156 0.13473
56.90965 0.50051 0.13533
57.15399 0.49938 0.13598
57.41464 0.49862 0.13642
57.65900 0.49762 0.13700
57.90334 0.49644 0.13767
58.15493 0.49582 0.13804
58.41196 0.49414 0.13900
58.67080 0.49334 0.13946
58.92964 0.49230 0.14006
59.19752 0.49150 0.14052
59.46904 0.49087 0.14088
59.74779 0.48987 0.14146
60.01750 0.48895 0.14199
60.30349 0.48781 0.14265
60.57500 0.48681 0.14323
60.84832 0.48576 0.14383
61.12345 0.48488 0.14434
61.39315 0.48337 0.14521
61.66286 0.48266 0.14562
61.93798 0.48165 0.14620
62.21311 0.48031 0.14697
62.48280 0.47927 0.14757
62.76335 0.47784 0.14839
63.04209 0.47713 0.14880
63.33169 0.47591 0.14950
63.60140 0.47474 0.15018
63.87833 0.47327 0.15102
64.17155 0.47256 0.15144
64.46116 0.47156 0.15201
64.73990 0.47034 0.15272
65.02407 0.46934 0.15329
65.31549 0.46829 0.15390
65.59605 0.46766 0.15426
65.88024 0.46670 0.15482
67.50929 0.46385 0.15646
67.76262 0.45714 0.16032
68.05223 0.46133 0.15791
68.37811 0.45924 0.15911
68.74011 0.45798 0.15984
69.01166 0.45840 0.15960
69.22886 0.45379 0.16225
69.60893 0.45253 0.16298
69.97094 0.45254 0.16298
70.20621 0.45002 0.16443
70.44148 0.45295 0.16274
