Test name: 03232015_1DC_100OS_140MPa_02_16
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
0.10000 0.53552 0.00000
0.17993 0.53584 0.00021
0.25234 0.53456 0.00062
0.25234 0.53457 0.00062
0.37904 0.53552 0.00000
0.34284 0.53266 0.00186
0.36094 0.53266 0.00186
0.52384 0.53266 0.00186
0.57814 0.52981 0.00372
0.65054 0.52885 0.00434
0.43334 0.53295 0.00167
0.50212 0.53228 0.00211
0.58176 0.53133 0.00273
0.67408 0.53066 0.00316
0.75734 0.52977 0.00374
0.85689 0.52889 0.00432
0.97454 0.52828 0.00471
1.08676 0.52752 0.00521
1.21347 0.52708 0.00550
1.35103 0.52660 0.00581
1.48859 0.52565 0.00643
1.64425 0.52502 0.00684
1.80173 0.52473 0.00703
1.97187 0.52413 0.00742
2.15288 0.52346 0.00785
2.34836 0.52317 0.00804
2.54927 0.52257 0.00843
2.76286 0.52172 0.00899
2.97825 0.52092 0.00951
3.20994 0.52035 0.00988
3.45430 0.51981 0.01023
3.69503 0.51915 0.01066
3.94482 0.51845 0.01112
4.20184 0.51778 0.01155
4.47878 0.51727 0.01188
4.75572 0.51654 0.01236
5.04170 0.51569 0.01291
5.33131 0.51524 0.01320
5.64264 0.51477 0.01351
5.94672 0.51404 0.01399
6.26710 0.51343 0.01438
6.59834 0.51296 0.01469
6.94405 0.51245 0.01502
7.29339 0.51194 0.01535
7.64454 0.51131 0.01577
8.00836 0.51080 0.01610
8.38303 0.51036 0.01639
8.76676 0.50988 0.01670
9.14325 0.50928 0.01709
9.53603 0.50871 0.01746
9.91976 0.50801 0.01792
10.33607 0.50744 0.01829
10.74695 0.50677 0.01872
11.15964 0.50626 0.01905
11.57956 0.50585 0.01932
12.00673 0.50506 0.01984
12.42847 0.50445 0.02023
12.86107 0.50420 0.02039
13.30815 0.50363 0.02077
13.76066 0.50319 0.02106
14.21679 0.50261 0.02143
14.65664 0.50217 0.02172
15.11096 0.50163 0.02207
15.57795 0.50071 0.02267
16.04131 0.49982 0.02325
16.50829 0.49925 0.02362
16.98614 0.49852 0.02409
17.46037 0.49741 0.02482
17.94002 0.49668 0.02529
18.41605 0.49595 0.02577
18.89753 0.49541 0.02612
19.38443 0.49430 0.02684
19.86047 0.49357 0.02732
20.34917 0.49291 0.02775
20.84332 0.49249 0.02802
21.34109 0.49205 0.02831
21.83885 0.49157 0.02862
22.33842 0.49094 0.02903
22.83980 0.49078 0.02914
23.34661 0.49011 0.02957
23.85342 0.48938 0.03004
24.36386 0.48919 0.03017
24.88515 0.48859 0.03056
25.39378 0.48818 0.03083
25.90059 0.48742 0.03133
26.40922 0.48685 0.03170
26.91785 0.48634 0.03203
27.42649 0.48602 0.03223
27.93331 0.48497 0.03292
28.44375 0.48450 0.03323
28.95961 0.48405 0.03352
