Test name: 03232015_1DC_100OS_70MPa_03_17
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-)     
0.18261 0.54031 0.00085
0.10000 0.53900 0.00000
0.23691 0.53737 0.00106
0.23691 0.53704 0.00127
0.34551 0.53737 0.00106
0.45411 0.53671 0.00149
0.50841 0.53442 0.00298
0.61701 0.53573 0.00213
0.72562 0.53475 0.00276
0.81612 0.53213 0.00446
0.51022 0.53570 0.00215
0.60072 0.53498 0.00261
0.69847 0.53420 0.00312
0.81974 0.53357 0.00353
0.94825 0.53292 0.00395
1.08581 0.53213 0.00446
1.23786 0.53151 0.00487
1.40257 0.53073 0.00538
1.56728 0.53037 0.00561
1.74648 0.52971 0.00604
1.92748 0.52913 0.00642
2.12840 0.52841 0.00689
2.33112 0.52788 0.00723
2.54471 0.52726 0.00763
2.76372 0.52667 0.00801
2.98817 0.52592 0.00850
3.22890 0.52533 0.00888
3.47145 0.52520 0.00897
3.73390 0.52409 0.00969
3.99636 0.52350 0.01007
4.27873 0.52294 0.01043
4.55928 0.52219 0.01092
4.86699 0.52147 0.01139
5.16384 0.52098 0.01171
5.48059 0.52016 0.01224
5.80459 0.51971 0.01254
6.13402 0.51879 0.01313
6.47250 0.51771 0.01383
6.82907 0.51748 0.01398
7.18384 0.51683 0.01441
7.55671 0.51630 0.01475
7.92234 0.51575 0.01511
8.30606 0.51493 0.01564
8.68798 0.51415 0.01615
9.06809 0.51346 0.01660
9.46449 0.51284 0.01700
9.85546 0.51248 0.01723
10.26091 0.51169 0.01775
10.65550 0.51088 0.01828
11.08447 0.51032 0.01864
11.49354 0.50950 0.01917
11.92795 0.50888 0.01957
12.34245 0.50865 0.01972
12.79858 0.50803 0.02013
13.25832 0.50754 0.02044
13.70178 0.50682 0.02091
14.17781 0.50633 0.02123
14.63756 0.50581 0.02157
15.11360 0.50489 0.02217
15.56792 0.50443 0.02246
16.04576 0.50394 0.02278
16.52180 0.50352 0.02306
17.00328 0.50273 0.02357
17.46484 0.50211 0.02397
17.94269 0.50136 0.02446
18.44588 0.50103 0.02467
18.90925 0.50034 0.02512
19.41243 0.49992 0.02540
19.89028 0.49962 0.02559
20.40614 0.49854 0.02629
20.88942 0.49812 0.02656
21.39080 0.49714 0.02720
21.89580 0.49655 0.02758
22.40805 0.49586 0.02803
22.90581 0.49563 0.02818
23.39814 0.49501 0.02858
23.91945 0.49446 0.02895
24.41179 0.49400 0.02924
24.92223 0.49347 0.02958
25.42181 0.49361 0.02950
25.94130 0.49312 0.02982
26.44630 0.49285 0.02999
26.95492 0.49279 0.03003
27.46354 0.49240 0.03028
27.98483 0.49200 0.03054
28.50431 0.49200 0.03054
29.01654 0.49158 0.03082
29.53964 0.49092 0.03124
30.06998 0.49030 0.03164
30.58583 0.48932 0.03228
31.11437 0.48860 0.03275
31.65014 0.48805 0.03311
32.18410 0.48739 0.03354
32.71807 0.48661 0.03405
33.24479 0.48563 0.03468
33.78056 0.48428 0.03555
34.31996 0.48356 0.03602
34.86658 0.48304 0.03636
35.41684 0.48242 0.03677
35.96346 0.48180 0.03717
36.50286 0.48121 0.03755
37.04948 0.48049 0.03802
37.59611 0.47980 0.03847
38.13731 0.47925 0.03883
38.68756 0.47850 0.03932
39.23058 0.47774 0.03980
39.76815 0.47722 0.04014
40.30392 0.47640 0.04068
40.83608 0.47555 0.04123
41.37005 0.47522 0.04144
41.90400 0.47437 0.04199
42.42529 0.47388 0.04231
42.95564 0.47323 0.04274
43.48959 0.47271 0.04308
44.00908 0.47228 0.04335
44.53037 0.47182 0.04365
45.05709 0.47117 0.04408
45.57838 0.47078 0.04433
46.08881 0.47012 0.04476
46.63001 0.46934 0.04527
47.16941 0.46885 0.04559
47.70337 0.46839 0.04588
48.23190 0.46783 0.04624
48.76226 0.46731 0.04658
49.29622 0.46675 0.04695
49.82114 0.46616 0.04733
50.34604 0.46544 0.04780
50.86733 0.46463 0.04833
51.40493 0.46420 0.04860
51.90811 0.46361 0.04899
52.41673 0.46332 0.04918
52.93078 0.46260 0.04964
53.43759 0.46185 0.05013
53.94982 0.46132 0.05047
54.46387 0.46100 0.05069
54.98697 0.46067 0.05090
55.49560 0.46034 0.05111
56.01508 0.45969 0.05154
56.52189 0.45933 0.05177
57.03957 0.45900 0.05198
57.54820 0.45831 0.05243
58.05140 0.45773 0.05281
58.56002 0.45717 0.05317
59.07045 0.45642 0.05366
59.57003 0.45550 0.05426
60.07322 0.45495 0.05462
60.57641 0.45439 0.05498
61.05969 0.45390 0.05530
61.55202 0.45315 0.05579
62.04796 0.45285 0.05598
62.54029 0.45236 0.05630
63.03443 0.45200 0.05653
63.52676 0.45141 0.05691
66.14048 0.44775 0.05929
66.55683 0.44644 0.06014
67.15411 0.44742 0.05951
67.55224 0.44415 0.06163
68.07726 0.44644 0.06014
68.43927 0.44382 0.06184
69.01848 0.44382 0.06184
69.50708 0.44285 0.06248
69.94149 0.44121 0.06354
70.28544 0.44055 0.06397
71.24472 0.43696 0.06631
