Test name: 03252015_1DC_100OS_140MPa_02_19
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
45.31654 0.53648 0.11018
45.53012 0.53518 0.11094
45.75637 0.53379 0.11174
45.98262 0.53265 0.11240
46.21794 0.53142 0.11311
46.45868 0.53032 0.11375
46.67950 0.52902 0.11450
46.91480 0.52787 0.11516
47.14648 0.52694 0.11571
47.37817 0.52551 0.11653
47.60985 0.52461 0.11705
47.83973 0.52367 0.11760
48.05513 0.52282 0.11809
48.27777 0.52159 0.11880
48.50765 0.51992 0.11977
48.72846 0.51878 0.12043
48.94929 0.51764 0.12109
49.17193 0.51649 0.12176
49.38914 0.51502 0.12261
49.62263 0.51360 0.12343
49.86337 0.51246 0.12409
50.08601 0.51135 0.12473
50.32494 0.51066 0.12513
50.55843 0.50997 0.12553
50.77381 0.50944 0.12584
51.01093 0.50878 0.12622
51.25890 0.50776 0.12681
51.49239 0.50683 0.12735
51.73674 0.50609 0.12778
51.96118 0.50511 0.12835
52.19287 0.50417 0.12889
52.45169 0.50340 0.12934
52.68518 0.50193 0.13019
52.92411 0.50071 0.13090
53.17210 0.49981 0.13142
53.41102 0.49838 0.13224
53.65356 0.49757 0.13272
53.90696 0.49679 0.13317
54.16219 0.49569 0.13380
54.40111 0.49491 0.13425
54.64546 0.49406 0.13475
54.87896 0.49320 0.13524
55.12876 0.49247 0.13567
55.38216 0.49169 0.13612
55.64281 0.49051 0.13680
55.89983 0.48969 0.13728
56.16047 0.48925 0.13754
56.41388 0.48794 0.13829
56.65461 0.48692 0.13888
56.92430 0.48578 0.13954
57.18495 0.48447 0.14030
57.45101 0.48329 0.14098
57.70984 0.48215 0.14165
57.98135 0.48101 0.14231
58.23837 0.47966 0.14309
58.50083 0.47860 0.14370
58.75787 0.47693 0.14467
59.01309 0.47595 0.14524
59.28641 0.47521 0.14566
59.54886 0.47423 0.14623
59.82038 0.47334 0.14675
60.08102 0.47219 0.14741
60.36158 0.47113 0.14802
60.62403 0.46999 0.14869
60.90279 0.46942 0.14902
61.15619 0.46844 0.14958
61.42951 0.46750 0.15013
61.72273 0.46677 0.15055
61.99605 0.46534 0.15138
62.27480 0.46428 0.15199
62.53725 0.46330 0.15256
62.82868 0.46265 0.15294
63.10019 0.46200 0.15332
63.38438 0.46126 0.15374
63.67218 0.46024 0.15433
63.97627 0.45910 0.15499
64.26407 0.45820 0.15551
64.53195 0.45710 0.15615
64.81793 0.45624 0.15665
65.12021 0.45551 0.15707
65.42249 0.45445 0.15769
65.72477 0.45331 0.15835
66.02523 0.45241 0.15887
66.31664 0.45139 0.15946
66.60625 0.45041 0.16002
66.91033 0.44960 0.16050
67.21442 0.44825 0.16128
67.51489 0.44756 0.16168
67.83346 0.44682 0.16210
68.13211 0.44576 0.16272
68.44344 0.44486 0.16324
68.74390 0.44380 0.16385
69.06790 0.44246 0.16463
69.38827 0.44144 0.16522
69.70140 0.44078 0.16560
70.00549 0.44005 0.16603
70.31319 0.43944 0.16638
70.67157 0.43830 0.16704
70.98290 0.43715 0.16770
71.30509 0.43634 0.16818
71.61281 0.43544 0.16869
71.92957 0.43426 0.16938
72.24633 0.43324 0.16997
72.58118 0.43246 0.17042
72.89975 0.43124 0.17113
73.22555 0.43006 0.17181
73.56765 0.42912 0.17236
73.85907 0.42798 0.17302
74.19755 0.42700 0.17359
74.53241 0.42602 0.17415
74.87811 0.42504 0.17472
75.22564 0.42414 0.17524
75.56954 0.42341 0.17566
75.88811 0.42251 0.17618
76.25736 0.42186 0.17656
76.61756 0.42096 0.17708
76.96147 0.42006 0.17760
77.33253 0.41945 0.17796
77.67825 0.41872 0.17838
78.03663 0.41770 0.17897
78.40226 0.41680 0.17949
78.75703 0.41590 0.18001
79.11180 0.41472 0.18070
79.48104 0.41345 0.18143
79.82133 0.41239 0.18204
80.17428 0.41150 0.18256
80.54172 0.41052 0.18313
80.91097 0.40938 0.18379
81.27478 0.40836 0.18438
81.63318 0.40734 0.18497
81.98975 0.40595 0.18577
82.36443 0.40542 0.18608
82.73187 0.40473 0.18648
83.11742 0.40403 0.18688
83.50658 0.40313 0.18740
83.89937 0.40248 0.18778
84.29758 0.40162 0.18828
84.67768 0.40073 0.18880
85.07770 0.39991 0.18927
85.47228 0.39914 0.18972
85.86868 0.39873 0.18996
86.26326 0.39746 0.19069
86.66690 0.39665 0.19116
87.05063 0.39583 0.19163
87.45064 0.39498 0.19213
87.84703 0.39424 0.19255
88.22170 0.39359 0.19293
88.61810 0.39265 0.19348
89.01450 0.39171 0.19402
89.41995 0.39082 0.19454
89.82540 0.38988 0.19508
90.23990 0.38927 0.19544
90.64534 0.38833 0.19598
